product_id,product_name,Category,weather_condition,seasonality,transaction_date,expiration_date,initial_quantity,quality_grade,days_until_expiry,cost_price,base_price,discount_pct,selling_price,units_sold,units_wasted,daily_demand
PRO_LET_132,Lettuce,Vegetables,Snowy,Winter,2023-12-05,2023-12-10,488,B,4,1.1,2.5,0,2.5,488,0,130
PRO_BAN_916,Bananas,Fruits,Snowy,Winter,2023-09-22,2023-10-03,107,B,8,2.71,4.89,0,4.89,107,0,18
PRO_APP_125,Apples,Fruits,Snowy,Winter,2024-09-26,2024-10-14,247,A,17,3.27,5.53,0,5.53,214,33,13
PRO_TOM_772,Tomatoes,Fruits,Cloudy,Winter,2024-05-08,2024-05-18,303,A,8,2.24,3.57,0,3.57,212,91,75
PRO_GRA_539,Grapes,Fruits,Cloudy,Winter,2024-07-28,2024-08-17,400,C,18,0.58,1.2,0.18,0.98,400,0,46
PRO_GRA_651,Grapes,Fruits,Snowy,Winter,2023-10-05,2023-10-20,132,B,14,1.1,1.76,0,1.76,105,27,7
PRO_APP_663,Apples,Fruits,Cloudy,Winter,2024-11-01,2024-11-12,261,A,9,4.6,7.77,0,7.77,128,133,20
PRO_APP_421,Apples,Fruits,Sunny,Winter,2023-07-01,2023-07-14,176,A,10,4.93,7.77,0,7.77,176,0,26
PRO_BAN_995,Bananas,Fruits,Snowy,Winter,2023-02-03,2023-02-18,407,A,15,2.84,4.07,0,4.07,378,29,34
PRO_GRA_160,Grapes,Fruits,Snowy,Winter,2024-08-06,2024-08-16,370,B,7,2.37,4.77,0,4.77,370,0,51
PRO_AVO_787,Avocados,Fruits,Snowy,Winter,2024-04-12,2024-04-23,402,A,11,3.45,6.91,0,6.91,402,0,37
PRO_BER_948,Berries,Fruits,Sunny,Winter,2024-12-20,2024-12-31,29,B,8,0.72,1.17,0,1.17,8,21,1
PRO_AVO_859,Avocados,Fruits,Sunny,Winter,2023-12-19,2023-12-25,325,B,3,0.91,2,0.11,1.78,122,203,44
PRO_BER_273,Berries,Fruits,Snowy,Winter,2024-11-21,2024-11-24,151,A,3,3.34,7.83,0,7.83,147,4,48
PRO_AVO_818,Avocados,Fruits,Snowy,Winter,2023-08-24,2023-09-03,144,C,7,2.9,4.75,0.19,3.85,87,57,12
PRO_GRA_202,Grapes,Fruits,Sunny,Winter,2023-10-04,2023-10-11,86,A,7,1.39,2.02,0,2.02,60,26,7
PRO_BAN_153,Bananas,Fruits,Snowy,Winter,2024-11-13,2024-11-22,151,C,9,1.47,3.27,0.15,2.78,151,0,24
PRO_TOM_173,Tomatoes,Fruits,Snowy,Winter,2023-09-30,2023-10-14,226,B,11,0.98,1.63,0,1.63,158,68,19
PRO_BER_458,Berries,Fruits,Snowy,Winter,2024-07-16,2024-07-27,169,B,8,2.27,5.02,0,5.02,169,0,27
PRO_AVO_998,Avocados,Fruits,Cloudy,Winter,2023-11-21,2023-11-29,377,C,6,5.06,7.43,0.16,6.24,290,87,30
PRO_BER_964,Berries,Fruits,Sunny,Winter,2024-02-18,2024-02-24,307,B,3,1.81,2.95,0,2.95,214,93,87
PRO_APP_284,Apples,Fruits,Snowy,Winter,2024-02-23,2024-03-01,137,C,6,1.42,2.65,0.24,2.01,137,0,25
PRO_APP_462,Apples,Fruits,Snowy,Winter,2024-09-12,2024-09-16,212,A,1,2.62,5.34,0.4,3.2,104,108,66
PRO_BAN_260,Bananas,Fruits,Cloudy,Winter,2023-10-27,2023-11-09,429,B,13,1.06,2.08,0,2.08,300,129,30
PRO_GRA_863,Grapes,Fruits,Sunny,Winter,2024-08-18,2024-09-05,376,A,18,1.9,2.99,0,2.99,376,0,42
PRO_APP_620,Apples,Fruits,Cloudy,Winter,2024-05-31,2024-06-15,43,C,13,1.83,3.23,0.24,2.45,43,0,3
PRO_BER_229,Berries,Fruits,Sunny,Winter,2024-10-14,2024-10-31,105,C,15,2.56,4.37,0.19,3.54,64,41,3
PRO_APP_983,Apples,Fruits,Cloudy,Winter,2023-08-29,2023-09-12,488,A,13,4.13,7.22,0,7.22,488,0,49
PRO_BAN_301,Bananas,Fruits,Cloudy,Winter,2024-11-22,2024-12-03,80,B,8,1.35,2.33,0,2.33,39,41,6
PRO_APP_269,Apples,Fruits,Cloudy,Winter,2024-03-13,2024-03-22,167,B,9,2.89,5.61,0,5.61,167,0,22
PRO_BAN_562,Bananas,Fruits,Cloudy,Winter,2024-09-25,2024-10-09,492,B,14,0.6,1.02,0,1.02,412,80,26
PRO_BAN_218,Bananas,Fruits,Cloudy,Winter,2023-10-25,2023-10-30,391,B,3,4.21,6.18,0,6.18,318,73,90
PRO_GRA_850,Grapes,Fruits,Cloudy,Winter,2023-08-19,2023-08-23,477,A,4,1.99,3.09,0,3.09,477,0,291
PRO_LET_269,Lettuce,Vegetables,Cloudy,Winter,2024-08-12,2024-08-16,457,C,4,2.67,4.88,0.21,3.86,457,0,184
PRO_BAN_869,Bananas,Fruits,Cloudy,Winter,2024-02-05,2024-02-18,267,A,11,2.22,3.32,0,3.32,186,81,22
PRO_TOM_725,Tomatoes,Fruits,Cloudy,Winter,2024-09-13,2024-09-18,402,C,2,0.68,1.68,0.26,1.24,299,103,102
PRO_BAN_277,Bananas,Fruits,Snowy,Winter,2023-07-22,2023-07-30,94,B,6,3.77,6.55,0,6.55,71,23,12
PRO_AVO_599,Avocados,Fruits,Snowy,Winter,2024-03-19,2024-04-02,320,B,12,3.94,6.71,0,6.71,151,169,18
PRO_AVO_762,Avocados,Fruits,Sunny,Winter,2023-07-30,2023-08-04,249,B,5,1.5,2.49,0,2.49,249,0,85
PRO_AVO_550,Avocados,Fruits,Cloudy,Winter,2024-10-27,2024-11-13,311,B,17,3.3,6.85,0,6.85,311,0,26
PRO_TOM_115,Tomatoes,Fruits,Cloudy,Winter,2023-10-15,2023-10-26,29,B,8,1.75,3.07,0,3.07,20,9,3
PRO_APP_631,Apples,Fruits,Cloudy,Winter,2023-10-12,2023-10-28,150,B,16,1.3,2.99,0,2.99,150,0,10
PRO_LET_600,Lettuce,Vegetables,Cloudy,Winter,2023-01-27,2023-02-09,74,B,13,2.13,3.99,0,3.99,70,4,6
PRO_BAN_864,Bananas,Fruits,Cloudy,Winter,2023-05-19,2023-05-25,86,C,5,0.56,1.07,0.18,0.88,86,0,16
PRO_BAN_391,Bananas,Fruits,Cloudy,Winter,2024-03-12,2024-03-29,297,B,16,4.33,6.37,0,6.37,247,50,17
PRO_BAN_470,Bananas,Fruits,Cloudy,Winter,2023-12-15,2023-12-28,49,B,11,2.7,5.19,0,5.19,40,9,4
PRO_TOM_611,Tomatoes,Fruits,Cloudy,Winter,2023-07-12,2023-07-16,102,A,3,0.85,1.65,0,1.65,102,0,45
PRO_BAN_235,Bananas,Fruits,Snowy,Winter,2023-10-28,2023-11-02,318,A,5,2,4.23,0,4.23,318,0,102
PRO_TOM_777,Tomatoes,Fruits,Sunny,Winter,2023-09-20,2023-09-30,295,B,7,2.05,3.99,0,3.99,94,201,17
PRO_TOM_889,Tomatoes,Fruits,Sunny,Winter,2024-01-25,2024-02-14,274,A,19,2.61,4.55,0,4.55,246,28,17
PRO_TOM_192,Tomatoes,Fruits,Sunny,Winter,2024-06-03,2024-06-14,13,B,11,0.96,1.78,0,1.78,0,13,0
PRO_AVO_186,Avocados,Fruits,Sunny,Winter,2024-10-28,2024-11-09,33,B,9,4.09,6.11,0,6.11,21,12,3
PRO_GRA_651,Grapes,Fruits,Snowy,Winter,2024-08-15,2024-08-22,433,B,7,2.05,4.75,0,4.75,433,0,94
PRO_APP_228,Apples,Fruits,Cloudy,Winter,2024-10-03,2024-10-16,241,A,12,3.87,7.19,0,7.19,196,45,14
PRO_AVO_295,Avocados,Fruits,Cloudy,Winter,2024-08-05,2024-08-12,201,A,6,4.49,7.04,0,7.04,201,0,42
PRO_LET_779,Lettuce,Vegetables,Snowy,Winter,2023-05-31,2023-06-17,204,B,16,1,1.95,0,1.95,204,0,21
PRO_TOM_434,Tomatoes,Fruits,Snowy,Winter,2024-12-05,2024-12-13,305,B,5,3.69,6.51,0,6.51,124,181,31
PRO_LET_507,Lettuce,Vegetables,Cloudy,Winter,2024-11-25,2024-12-10,99,A,14,2.18,4.03,0,4.03,62,37,5
PRO_GRA_809,Grapes,Fruits,Cloudy,Winter,2024-02-10,2024-02-14,304,B,1,2.67,4.81,0.33,3.22,144,160,99
PRO_GRA_727,Grapes,Fruits,Snowy,Winter,2023-05-23,2023-06-03,114,A,9,3.39,5.99,0,5.99,79,35,13
